Exceptions

Part 				Id									Desc
Compiler			cp_invalid_term_node				Unknown terminating node: %nodeType%
Compiler 			cp_invalid_complex_node				Unknown complex node: %nodeType%
Compiler 			cp_invalid_simple_node				Unknown simple node: %nodeType%
Compiler 			cp_invalid_list_node				Unknown list node: %nodeType%
Compiler 			cp_invalid_assign_target			Invalid assignment target
Compiler			cp_invalid_jmp_patch_size			Expected long JMP instruction, got short
Compiler 			cp_invalid_jmp_patch_inst			Expected JMP instruction at patch site
Compiler 			cp_expected_expression		 		Expected an expression, got: %tokenString% (statement)
Compiler 			cp_expected_statement		 		Expected a statement, got: %tokenString% (expression)
IRGenerator 		ir_expect_lvalue_or_statement		Expected a left-value or statement
IRGenerator 		ir_expect_rvalue					Expected a right-value
IRGenerator			ir_unknown_token					Unknown token id: %tokenId% "%tokenString%"
IRGenerator			ir_missing_rparen					Expected an end of expression, got: "%tokenString%"
IRGenerator 		ir_invalid_token 					Invalid token: "%tokenString%"
IRGenerator 		ir_empty_forloop					Empty forloop. Expected a list of expressions
IRGenerator 		ir_expect							Expected end of expression, got: "%tokenString%" | Expected "while" after "do <block>", got: "%tokenString%" | "Expected "(" after "for", got: "%tokenString" | "Expected ")", got: "%tokenString" | Expected "=" after "function <name>", got: "%tokenString%" | Expected "(" after "function <name> =", got: "%tokenString%" | Expected ")" after "function <name> = (...", got: "%tokenString%"
IRGenerator			ir_parsing_past_eof					Parsing past end of file
IRGenerator 		ir_variable_name 					Invalid variable name: %tokenString%
IRGenerator 		ir_function_name					Invalid function name: %tokenString%
Disassembler		disasm_invalid_value				Invalid value type: %valueType%
Disassembler 		disasm_invalid_value_object			Invalid object type: %objectType%
Runtime				rt_invalid_operand_type				Both operands of "%op%" operation must be numbers | Negation operand must be of number type | Not operand must be of boolean type | Operands of + operation must be numbers or strings | Operand must be of string type
Runtime 			rt_unknown_opcode					Unknown opcode: %opcode%
Runtime				rt_unknown_global 					Referring to an unknown global: "%identifierString%"

Generic Exceptions
error_not_implemented	reason: A feature is not yet implemented
